,Movie Name,Year of Release,TimeLine,Ratings,metascore,Votes,Earnings
0,The Shawshank Redemption,1994,142,9.3,80.0,2210477,28.34
1,The Godfather,1972,175,9.2,100.0,1522617,134.97
2,The Dark Knight,2008,152,9.0,84.0,2189106,534.86
3,The Godfather: Part II,1974,202,9.0,90.0,1066564,57.3
4,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1569148,377.85
5,Pulp Fiction,1994,154,8.9,94.0,1735781,107.93
6,Schindler's List,1993,195,8.9,94.0,1152608,96.9
7,12 Angry Men,1957,96,8.9,96.0,645725,4.36
8,Inception,2010,148,8.8,74.0,1938321,292.58
9,Fight Club,1999,139,8.8,66.0,1764025,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1581319,315.54
11,Forrest Gump,1994,142,8.8,82.0,1705894,330.25
12,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,654804,6.1
13,The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1416923,342.55
14,The Matrix,1999,136,8.7,73.0,1590317,171.48
15,Goodfellas,1990,146,8.7,90.0,962359,46.84
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1107478,290.48
17,One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,870555,112.0
18,Harakiri,1962,133,8.7,85.0,31789,
19,Parasite,2019,132,8.6,96.0,343709,53.37
20,Interstellar,2014,169,8.6,74.0,1391076,188.02
21,City of God,2002,130,8.6,79.0,671508,7.56
22,Spirited Away,2001,125,8.6,96.0,598824,10.06
23,Saving Private Ryan,1998,169,8.6,91.0,1171898,216.54
24,The Green Mile,1999,189,8.6,61.0,1078804,136.8
25,Life Is Beautiful,1997,116,8.6,59.0,586935,57.6
26,Se7en,1995,127,8.6,65.0,1361740,100.13
27,The Silence of the Lambs,1991,118,8.6,85.0,1199343,130.74
28,Star Wars: Episode IV - A New Hope,1977,121,8.6,90.0,1179448,322.74
29,Seven Samurai,1954,207,8.6,98.0,299186,0.27
30,It's a Wonderful Life,1946,130,8.6,89.0,378845,
31,Joker,2019,122,8.5,59.0,736534,335.45
32,Ayla: The Daughter of War,2017,125,8.5,,29995,
33,Avengers: Infinity War,2018,149,8.5,68.0,757960,678.82
34,Whiplash,2014,106,8.5,88.0,664867,13.09
35,The Intouchables,2011,112,8.5,57.0,716375,13.18
36,The Prestige,2006,130,8.5,66.0,1120941,53.09
37,The Departed,2006,151,8.5,85.0,1129694,132.38
38,The Pianist,2002,150,8.5,85.0,684653,32.57
39,Gladiator,2000,155,8.5,67.0,1275132,187.71
40,American History X,1998,119,8.5,62.0,992791,6.72
41,The Usual Suspects,1995,106,8.5,77.0,946252,23.34
42,Léon: The Professional,1994,110,8.5,64.0,979745,19.5
43,The Lion King,1994,88,8.5,88.0,893720,422.78
44,Terminator 2: Judgment Day,1991,137,8.5,75.0,954406,204.84
45,Cinema Paradiso,1988,155,8.5,80.0,214368,11.99
46,Grave of the Fireflies,1988,89,8.5,,214366,
47,Back to the Future,1985,116,8.5,87.0,988922,210.61
48,Once Upon a Time in the West,1968,165,8.5,80.0,286313,5.32
49,High and Low,1963,143,8.5,,27192,
50,Psycho,1960,109,8.5,97.0,568419,32.0
51,Casablanca,1942,102,8.5,100.0,497542,1.02
52,Modern Times,1936,87,8.5,96.0,203793,0.16
53,City Lights,1931,87,8.5,99.0,156874,0.02
54,1917,2019,119,8.4,78.0,259258,159.18
55,Capernaum,2018,126,8.4,75.0,41677,1.66
56,Your Name.,2016,106,8.4,79.0,162247,5.02
57,Dangal,2016,161,8.4,,138050,12.39
58,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,305555,190.24
59,Avengers: Endgame,2019,181,8.4,78.0,688438,858.37
60,Drishyam,2013,160,8.4,,28575,
61,Coco,2017,105,8.4,81.0,327962,209.73
62,Django Unchained,2012,165,8.4,81.0,1279820,162.81
63,The Dark Knight Rises,2012,164,8.4,78.0,1448676,448.14
64,3 Idiots,2009,170,8.4,67.0,319513,6.53
65,Taare Zameen Par,2007,165,8.4,,153750,1.22
66,WALL·E,2008,98,8.4,95.0,951957,223.81
67,The Lives of Others,2006,137,8.4,89.0,339985,11.29
68,Oldboy,2003,101,8.4,77.0,485523,0.71
69,Memento,2000,113,8.4,80.0,1072718,25.54
70,Princess Mononoke,1997,134,8.4,76.0,315788,2.38
71,Once Upon a Time in America,1984,229,8.4,,293288,5.32
72,Raiders of the Lost Ark,1981,115,8.4,85.0,846014,248.16
73,The Shining,1980,146,8.4,66.0,842229,44.02
74,Apocalypse Now,1979,147,8.4,94.0,575647,83.47
75,Alien,1979,117,8.4,89.0,749240,78.9
76,Dr. Strangelove,1964,95,8.4,97.0,431391,0.28
77,Witness for the Prosecution,1957,116,8.4,,99717,8.18
78,Paths of Glory,1957,88,8.4,,166322,
79,Rear Window,1954,112,8.4,100.0,420021,36.76
80,Sunset Blvd.,1950,110,8.4,,189296,
81,The Great Dictator,1940,125,8.4,,191219,
82,Uri: The Surgical Strike,2019,138,8.3,,38011,4.19
83,Andhadhun,2018,139,8.3,,57793,1.37
84,The Hunt,2012,115,8.3,77.0,259251,0.69
85,A Separation,2011,123,8.3,95.0,208074,7.1
86,Incendies,2010,131,8.3,80.0,134536,6.86
87,My Father and My Son,2005,108,8.3,,73089,
88,Toy Story 3,2010,103,8.3,92.0,723251,415.0
89,Inglourious Basterds,2009,153,8.3,69.0,1193521,120.54
90,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,864803,34.4
91,Amélie,2001,122,8.3,69.0,676911,33.23
92,Snatch,2000,102,8.3,55.0,749677,30.33
93,Requiem for a Dream,2000,102,8.3,68.0,731190,3.64
94,American Beauty,1999,122,8.3,84.0,1028201,130.1
95,Good Will Hunting,1997,126,8.3,70.0,811895,138.43
96,Children of Heaven,1997,89,8.3,,58903,0.93
97,The Bandit,1996,128,8.3,,59289,
98,Toy Story,1995,81,8.3,95.0,843111,191.8
99,Braveheart,1995,178,8.3,68.0,924398,75.6
